Fecha,Nombre del Comercio,Direccion del Comercio,Vecindario del Comercio,Area del Comercio,Codigo Postal del Comercio,Categoria del Comercio,Telefono del Comercio,Web del Comercio,Moneda,Cantidad Total,Descripcion del Producto,SKU del Producto,UoM del Producto,Categoria del Producto,Precio Unitario del Producto
2024-04-14 08:19:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,12.82,Hose Clamp  Ps   ,5248058,N/A,Repairs & Maintenance,6.49
2024-04-14 08:19:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,12.82, Yr Replacement If Defective,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 08:19:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,12.82,Chlorinated Brk Clnr  ,W5089,N/A,Repairs & Maintenance,5.49
2024-04-14 13:54:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,10.69,Brk Fld Dot     Oz ,601458,N/A,Repairs & Maintenance,9.99
2024-04-14 12:53:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,25.67,Oil Wdelvac  Qt M ,44819,N/A,Repairs & Maintenance,23.99
2024-04-14 14:31:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,2.13,Snapoff Blades Knife  ,TW676,N/A,Repairs & Maintenance,1.99
2024-04-14 12:09:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,27.81,Nite Shade Lens Tint  Sp,N/A,N/A,Repairs & Maintenance,25.99
2024-04-13 17:31:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,4.8,Flat Washer  Pc Dormn,965014D,N/A,Repairs & Maintenance,4.49
2024-04-13 17:31:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,4.8,Limited Lifetime Replacement,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-13 16:56:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,16.04,Eng Oil Stp Lk  Oz Lu ,10278,N/A,Repairs & Maintenance,14.99
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Bud Light Pk Oz CanT,N/A,N/A,Meals & Entertainment,12.99
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Bud Light Beer  OzT,N/A,N/A,Meals & Entertainment,4.49
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Markdown,N/A,N/A,Meals & Entertainment,-0.5
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Bud Light Beer  OzT,N/A,N/A,Meals & Entertainment,4.49
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Markdown,N/A,N/A,Meals & Entertainment,-0.5
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Bud Light Beer  OzT,N/A,N/A,Meals & Entertainment,4.49
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Markdown,N/A,N/A,Meals & Entertainment,-0.5
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Bud Light Beer  OzT,N/A,N/A,Meals & Entertainment,4.49
2024-04-26 15:51:04,Ssedanos,"3801 West Flagler Street, Miami, FL 33134-1603, USA",Miami,FL,33134-1603,Grocery,17865023420,N/A,USD,56.03,Markdown,N/A,N/A,Meals & Entertainment,-0.5
